pic1,pic2
apricot,golfball
apricot,polarbear
apricot,record
apricot,washingmachine
artichoke,orange
artichoke,peapod
artichoke,rhinoceros
artichoke,rubberducky
artichoke,tennisball
artichoke,watermelonslice
banana,cardinal
banana,crocodile
banana,pickle
banana,rhinoceros
banana,speaker
basketball,corncob
basketball,driedcorn
basketball,eggplant
basketball,lobster
bear,mailbox
bear,television
bear,toilet
binoculars,hockeypuck
binoculars,lobster
binoculars,pumpkin
blueberries,pickle
blueberries,trumpet
broccoli,greekcolumn
broccoli,lemon
bulldozer,hotdog
cactus,rhinoceros
cactus,santahat
camera,sideroadsign
cardinal,firetruck
cardinal,weddingcake
carrot,lime
carrot,raspberry
cauliflower,kiwihalf
celery,cucumber
celery,frog
celery,greenbeans
celery,rhinoceros
cherries,cucumber
chick,toilet
cigar,rhinoceros
clarinet,football
clarinet,garlic
clarinet,santahat
clarinet,television
coconut,crosswalksign
corncob,smokedetector
crosswalksign,greenbeans
crosswalksign,sheep
cucumber,sideroadsign
driedcorn,firetruck
driedcorn,garlic
driedcorn,tomato
egg,lion
eggplant,tiger
elephant,lion
elephant,weddingcake
fireextinguisher,firetruck
fireextinguisher,tiger
fireextinguisher,wholewatermelon
firehydrant,lime
firehydrant,schoolbus
firetruck,swan
firetruck,washingmachine
football,sideroadsign
football,speaker
football,watermelonslice
fox,strawberry
fox,tire
fox,washingmachine
frog,record
garlic,potato
golfball,sideroadsign
grapefruithalves,raspberry
grapefruithalves,tire
greekcolumn,ketchup
greekcolumn,toilet
hockeypuck,strawberry
hockeypuck,tomato
hockeypuck,wreath
hotdog,schoolbus
hotdog,snowflake
iguana,lion
iguana,television
ketchup,polarbear
ketchup,record
kiwihalf,rubberducky
lemon,trumpet
lobster,mailbox
lobster,swan
lobster,television
mailbox,record
moviecamera,raspberry
noentrysign,washingmachine
orange,peapod
penguin,wholewatermelon
polarbear,wreath
pumpkin,snowflake
raspberry,speaker
raspberry,wreath
record,tomato
rhinoceros,trumpet
santahat,trumpet
sideroadsign,trumpet
sideroadsign,turtle
smokedetector,toilet
snowflake,stocking
speaker,tomato
speaker,wholewatermelon
stocking,tank
swan,tomato
toilet,watermelonslice
tomato,trafficcone
trumpet,wholewatermelon
turtle,zucchini
washingmachine,zucchini
