pic1,pic2
apricot,blueberries
apricot,corncob
artichoke,cactus
artichoke,camera
artichoke,orange
artichoke,raspberry
artichoke,tennisball
avocado,fireextinguisher
avocado,schoolbus
banana,coconut
banana,eggplant
banana,fireextinguisher
banana,kiwihalf
banana,strawberry
baseball,schoolbus
baseballmitt,cardinal
basketball,greekcolumn
basketball,turtle
bear,crosswalksign
bear,strawberry
binoculars,handicappedparking
bison,cauliflower
blueberries,kiwihalf
blueberries,noentrysign
blueberries,tooth
blueberries,weddingcake
broccoli,firemanhat
broccoli,lemon
bulldozer,chinesefoodcarton
bulldozer,fireextinguisher
bulldozer,hotdog
bulldozer,trumpet
cactus,fox
camera,golfball
camera,santahat
camera,tiger
camera,tomato
cardinal,celery
cardinal,corncob
cardinal,lemon
cardinal,zucchini
carrot,clarinet
carrot,football
carrot,record
carrot,schoolbus
cherries,mailbox
cherries,raspberry
cherries,smokedetector
cherries,tophat
chick,noentrysign
chinesefoodcarton,hotdog
chinesefoodcarton,moviecamera
chinesefoodcarton,rubberducky
cigar,orange
clarinet,tire
coconut,ketchup
coconut,tiger
corncob,rubberducky
corncob,turtle
crosswalksign,pickle
cucumber,lobster
cucumber,pumpkin
driedcorn,golfball
driedcorn,violin
egg,lime
egg,tire
elephant,fireextinguisher
fireextinguisher,potato
firehydrant,iguana
firehydrant,raspberry
firehydrant,tooth
firemanhat,handicappedparking
firetruck,orange
football,pickle
football,washingmachine
frog,tennisball
garlic,iguana
garlic,sheep
golfball,toilet
golfball,walkietalkie
grapefruithalves,trumpet
handicappedparking,pinkflamingo
handicappedparking,wreath
hockeypuck,pinkflamingo
hockeypuck,toilet
iguana,noentrysign
iguana,piano
iguana,watermelonslice
ketchup,stocking
lime,violin
lion,snowflake
lobster,raspberry
lobster,walkietalkie
lobster,weddingcake
mailbox,watermelonslice
moviecamera,polarbear
moviecamera,rubberducky
noentrysign,washingmachine
orange,penguin
orange,snowflake
peapod,washingmachine
piano,turtle
pickle,sheep
pickle,television
pickle,tennisball
pickle,watermelonslice
pinkflamingo,schoolbus
pinkflamingo,walkietalkie
potato,pumpkin
potato,tiger
pumpkin,sheep
pumpkin,snowflake
pumpkin,tiger
record,tank
rubberducky,schoolbus
santahat,speaker
santahat,television
speaker,trafficcone
tennisball,wholewatermelon
tophat,turtle
